"Ano,Mes,Ureia_E_Europe_USD_mt,Potassio_KCl_USD_mt,DAP_Proxy_MAP_USD_mt"
"2020,Jan,220.3,245.0,273.5"
"2020,Feb,220.3,245.0,273.5"
"2020,Mar,220.3,245.0,273.5"
"2020,Apr,213.0,221.2,272.7"
"2020,May,213.0,221.2,272.7"
"2020,Jun,213.0,221.2,272.7"
"2020,Jul,238.1,202.5,316.0"
"2020,Aug,245.0,202.5,340.0"
"2020,Sep,245.0,202.5,357.0"
"2020,Oct,249.0,202.5,380.0"
"2020,Nov,267.0,202.5,419.0"
"2020,Dec,280.0,202.5,466.0"
"2021,Jan,309.0,202.5,500.0"
"2021,Feb,335.0,202.5,528.9"
"2021,Mar,352.9,202.5,534.1"
"2021,Apr,328.1,202.5,543.4"
"2021,May,331.6,202.5,574.6"
"2021,Jun,393.3,202.5,604.8"
"2021,Jul,441.5,202.5,613.0"
"2021,Aug,446.9,221.0,603.1"
"2021,Sep,418.8,221.0,643.8"
"2021,Oct,695.0,221.0,672.9"
"2021,Nov,900.5,221.0,726.7"
"2021,Dec,890.0,221.0,745.0"
"2022,Jan,821.0,391.8,794.9"
"2022,Feb,821.0,391.8,794.9"
"2022,Mar,821.0,391.8,794.9"
"2022,Apr,774.2,562.5,860.1"
"2022,May,774.2,562.5,860.1"
"2022,Jun,774.2,562.5,860.1"
"2022,Jul,623.4,562.5,761.8"
"2022,Aug,623.4,562.5,761.8"
"2022,Sep,623.4,562.5,761.8"
"2022,Oct,636.3,562.5,725.0"
"2022,Nov,588.8,562.5,665.6"
"2022,Dec,519.4,562.5,625.0"
"2023,Jan,371.6,486.2,616.5"
"2023,Feb,371.6,486.2,616.5"
"2023,Mar,371.6,486.2,616.5"
"2023,Apr,310.0,369.3,533.9"
"2023,May,310.0,369.3,533.9"
"2023,Jun,366.8,348.8,505.1"
"2023,Jul,334.6,341.3,458.8"
"2023,Aug,385.6,353.1,528.8"
"2023,Sep,380.0,352.0,527.9"
"2023,Oct,374.8,334.0,540.0"
"2023,Nov,352.0,334.0,540.0"
"2023,Dec,310.0,334.0,540.0"
"2024,Jan,338.9,295.4,599.2"
"2024,Feb,338.9,295.4,599.2"
"2024,Mar,338.9,295.4,599.2"
"2024,Apr,313.7,307.3,536.7"
"2024,May,313.7,307.3,536.7"
"2024,Jun,340.8,293.8,546.7"
"2024,Jul,342.5,300.6,539.4"
"2024,Aug,342.5,294.0,546.0"
"2024,Sep,337.5,286.9,554.8"
"2024,Oct,374.8,278.1,573.4"
"2024,Nov,352.3,281.0,574.5"
"2025,Jan,403.8,319.0,600.5"
"2025,Feb,403.8,319.0,600.5"
"2025,Mar,403.8,319.0,600.5"
"2025,Apr,399.8,359.2,673.2"
"2025,May,392.0,362.5,669.2"
"2025,Jun,420.5,363.1,715.4"
"2025,Jul,496.0,362.5,736.0"
"2025,Aug,490.0,356.5,740.0"
"2025,Sep,N/D,352.5,N/D"
"2025,Oct,355.0,352.0,N/D"
